Name,Brand,2G,3G,4G,5G,Announced,Released,Dimension,Weight,Build,Sim,Body(Other),Display Type,Display Size,Resolution,Display Protection,Display(Other),OS,Chipset,CPU,GPU,Memory(External),Memory(Internal),Main Camera,Main Camera(Features),Main Camera(Video),Front Camera,Front Camera(Features),Front Camera(Video),Speaker,Headphone Jack,WiFi,Bluetooth,GPS,NFC,Radio,USB,Sensors,Battery Type,Charging,Battery Talktime,Colors,Models,Price,Benchmark Results,Battery Test,Popularity,Rating
iPhone SE (2020),Apple,TRUE,TRUE,TRUE,FALSE,"2020, April 15","Available. Released 2020, April 24",138.4 x 67.3 x 7.3 mm (5.45 x 2.65 x 0.29 in),148 g (5.22 oz),"Glass front, glass back, aluminum frame",Nano-SIM and eSIM,"IP67 dust/water resistant (up to 1m for 30 min)
Apple Pay (Visa, MasterCard, AMEX certified)","Retina IPS LCD, 625 nits (typ)","4.7 inches, 60.9 cm2 (~65.4% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)",Ion-strengthened glass,,"iOS 13, upgradable to iOS 16.5, planned upgrade to iOS 17",Apple A13 Bionic (7 nm+),Hexa-core (2x2.65 GHz Lightning + 4x1.8 GHz Thunder),Apple GPU (4-core graphics),No,"64GB 3GB RAM, 128GB 3GB RAM, 256GB 3GB RAM","12 MP, f/1.8 (wide), PDAF, OIS","Quad-LED dual-tone flash, HDR, panorama","4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, OIS, stereo sound rec.","7 MP, f/2.2",HDR,1080p@30fps, gyro-EIS,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","GPS, GLONASS",Yes,No,"Lightning, USB 2.0","Fingerprint (front-mounted), accelerometer, proximity, gyro, compass, barometer","Li-Ion 1821 mAh, non-removable (6.91 Wh)","18W wired, 50% in 30 min (advertised)
7.5W wireless (Qi)","Black, White, Red",0.98 W/kg (head)     0.99 W/kg (body)     ,324.77,"
AnTuTu: 462253 (v8)
GeekBench: 3237 (v5.1)",Endurance rating 59h,"8,731,496 hits",3.5
Pixel Fold,Pixel,TRUE,TRUE,TRUE,TRUE,"2023, May 10","Coming soon. Exp. release 2023, June 27",Unfolded: 158.7 x 139.7 x 5.8 mmFolded: 139.7 x 79.5 x 12.1 mm,283 g (9.98 oz),"Glass front (Gorilla Glass Victus) (folded), plastic front (unfolded), glass back (Gorilla Glass Victus), aluminum frame",Nano-SIM and eSIM,IPX8 water resistant,"Foldable OLED, 120Hz, HDR10+, 1000 nits (HBM), 1450 nits (peak)","7.6 inches, 183.3 cm2 (~82.7% screen-to-body ratio)",1840 x 2208 pixels (~378 ppi density),,"Cover display:
OLED, 120Hz, HDR, Corning Gorilla Glass Victus
5.8 inches, 1080 x 2092 pixels, 17.4:9 ratio, 408 ppi
1200 nits (HBM), 1550 nits (peak)",Android 13,Google Tensor G2 (5 nm),Octa-core (2x2.85 GHz Cortex-X1 & 2x2.35 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),Mali-G710 MP7,No,"256GB 12GB RAM, 512GB 12GB RAM","48 MP, f/1.7, 25mm (wide), 1/2"", 0.8µm, Dual Pixel PDAF, Laser AF, OIS
10.8 MP, f/3.1, 112mm (telephoto), 1/3.1"", 1.22µm, Dual Pixel PDAF, OIS, 5x optical zoom
10.8 MP, f/2.2, 121˚, (ultrawide), 1/3"", 1.25µm","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps, 10-bit HDR","8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm
Cover camera:
9.5 MP, f/2.2, 24mm (wide), 1.22µm, Dual Pixel PDAF","HDR, panorama","4K@30/60fps, 1080p@30/60fps","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS",Yes,No,"USB Type-C 3.2, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Po 4821 mAh, non-removable","Wired, PD3.0
Wireless",,"Porcelain, Obsidian",G9FPL,1879,,,"201,860 hits",3.1
Pixel Tablet,Pixel,TRUE,TRUE,TRUE,FALSE,"2023, May 10","Available. Released 2023, June 20",258 x 169 x 8.1 mm (10.16 x 6.65 x 0.32 in),493 g (1.09 lb),"Glass front, aluminum frame, aluminum back",No,Stylus support,IPS LCD,"10.95 inches, 347.7 cm2 (~79.7% screen-to-body ratio)","1600 x 2560 pixels, 16:10 ratio (~276 ppi density)",,,Android 13,Google Tensor G2 (5 nm),Octa-core (2x2.85 GHz Cortex-X1 & 2x2.35 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),Mali-G710 MP7,No,"128GB 8GB RAM, 256GB 8GB RAM","8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm","HDR, panorama",1080p@30fps,"8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm","HDR, panorama",1080p@30fps,"Yes, with stereo speakers (4 speakers)",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.2, A2DP, LE",Unspecified,No,No,"USB Type-C 3.2 (Gen 1), magnetic connector","Accelerometer, gyro, compass, proximity (accessories only)","Li-Po, non-removable (27 Wh)",Wired,,"Porcelain, Hazel, Rose",,729.4,,,"217,271 hits",3.3
Pixel 7a,Pixel,TRUE,TRUE,TRUE,TRUE,"2023, May 10","Available. Released 2023, May 10",152 x 72.9 x 9 mm (5.98 x 2.87 x 0.35 in),193.5 g (6.84 oz),"Glass front (Gorilla Glass 3), aluminum frame, plastic back",Nano-SIM and eSIM,IP67 dust/water resistant (up to 1m for 30 min),"OLED, HDR, 90Hz","6.1 inches, 90.7 cm2 (~81.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~429 ppi density)",Corning Gorilla Glass 3,Always-on display,Android 13,Google Tensor G2 (5 nm),Octa-core (2x2.85 GHz Cortex-X1 & 2x2.35 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),Mali-G710 MP7,No,128GB 8GB RAM,"64 MP, f/1.9, 26mm (wide), 1/1.73"", 0.8µm, Dual Pixel PDAF, OIS
13 MP, f/2.2, 120˚ (ultrawide), 1.12µm","Dual-LED flash, Pixel Shift, Auto-HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps, OIS","13 MP, f/2.2, 20mm (ultrawide), 1.12µm","Auto-HDR, panorama","4K@30fps, 1080p@30fps","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band","5.3, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS, NavIC",Yes,No,USB Type-C 3.2,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer","Li-Po 4385 mAh, non-removable","18W wired, PD3.0
7.5W wireless",,"Charcoal, Snow, Sea, Coral","GWKK3, GHL1X, G0DZQ, G82U8",428,"
AnTuTu: 765281 (v9)
GeekBench: 3191 (v5.1), 3631 (v6)
GFXBench: 62fps (ES 3.1 onscreen)",Endurance rating 76h,"1,202,745 hits",4.3
Pixel 7 Pro,Pixel,TRUE,TRUE,TRUE,TRUE,"2022, October 06","Available. Released 2022, October 13",162.9 x 76.6 x 8.9 mm (6.41 x 3.02 x 0.35 in),212 g (7.48 oz),"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass Victus), aluminum frame",Nano-SIM and eSIM,IP68 dust/water resistant (up to 1.5m for 30 min),"LTPO AMOLED, 120Hz, HDR10+, 1000 nits (HBM), 1500 nits (peak)","6.7 inches, 110.6 cm2 (~88.7% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~512 ppi density)",Corning Gorilla Glass Victus,Always-on display,Android 13,Google Tensor G2 (5 nm),Octa-core (2x2.85 GHz Cortex-X1 & 2x2.35 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),Mali-G710 MP7,No,"128GB 8GB RAM, 256GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.9, 25mm (wide), 1/1.31"", 1.2µm, multi-directional PDAF, Laser AF, OIS
48 MP, f/3.5, 120mm (telephoto), 1/2.55"", 0.7µm, multi-directional PDAF, OIS, 5x optical zoom
12 MP, f/2.2, 126˚ (ultrawide), 1/2.9"", 1.25µm, AF","Dual-LED flash, Pixel Shift, Auto-HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS, OIS, 10-bit HDR","10.8 MP, f/2.2, 21mm (ultrawide), 1/3.1"", 1.22µm","Auto-HDR, panorama","4K@30/60fps, 1080p@30/60fps","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)",Yes,No,USB Type-C 3.2,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer","Li-Ion 5000 mAh, non-removable","23W wired, PD3.0, 50% in 30 min (advertised)
23W wireless
Reverse wireless",,"Obsidian, Snow, Hazel","GP4BC, GE2AE",706,"
AnTuTu: 796369 (v9)
GeekBench: 3187 (v5.1)
GFXBench: 34fps (ES 3.1 onscreen)",Endurance rating 83h,"3,508,235 hits",4.4
Pixel 7,Pixel,TRUE,TRUE,TRUE,TRUE,"2022, October 06","Available. Released 2022, October 13",155.6 x 73.2 x 8.7 mm (6.13 x 2.88 x 0.34 in),197 g (6.95 oz),"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass Victus), aluminum frame",Nano-SIM and eSIM,IP68 dust/water resistant (up to 1.5m for 30 min),"AMOLED, 90Hz, HDR10+, 1000 nits (HBM), 1400 nits (peak)","6.3 inches, 96.7 cm2 (~84.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~416 ppi density)",Corning Gorilla Glass Victus,Always-on display,Android 13,Google Tensor G2 (5 nm),Octa-core (2x2.85 GHz Cortex-X1 & 2x2.35 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),Mali-G710 MP7,No,"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.9, 25mm (wide), 1/1.31"", 1.2µm, multi-directional PDAF, Laser AF, OIS
12 MP, f/2.2, 114˚ (ultrawide), 1/2.9"", 1.25µm","Dual-LED flash, Pixel Shift, Auto-HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS, OIS, 10-bit HDR","10.8 MP, f/2.2, 21mm (ultrawide), 1/3.1"", 1.22µm","Auto-HDR, panorama","4K@30/60fps, 1080p@30/60fps","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)",Yes,No,USB Type-C 3.2,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer","Li-Ion 4355 mAh, non-removable","20W wired, PD3.0, 50% in 30 min (advertised)
20W wireless
Reverse wireless",,"Obsidian, Lemongrass, Snow","GVU6C, GQML3",484,"
AnTuTu: 813114 (v9)
GeekBench: 3288 (v5.1)
GFXBench: 59fps (ES 3.1 onscreen)",Endurance rating 96h,"2,526,055 hits",4.3
Pixel 6a,Pixel,TRUE,TRUE,TRUE,TRUE,"2022, May 11","Available. Released 2022, July 21",152.2 x 71.8 x 8.9 mm (5.99 x 2.83 x 0.35 in),178 g (6.28 oz),"Glass front (Gorilla Glass 3), aluminum frame, plastic back",Nano-SIM and eSIM,IP67 dust/water resistant (up to 1m for 30 min),"OLED, HDR","6.1 inches, 90.7 cm2 (~83.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~429 ppi density)",Corning Gorilla Glass 3,Always-on display,"Android 12, upgradable to Android 13",Google Tensor (5 nm),Octa-core (2x2.80 GHz Cortex-X1 & 2x2.25 GHz Cortex-A76 & 4x1.80 GHz Cortex-A55),Mali-G78 MP20,No,128GB 6GB RAM,"12.2 MP, f/1.7, 27mm, (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS
12 MP, f/2.2, 17mm, 114˚ (ultrawide), 1.25µm","Dual-LED flash, Pixel Shift, Auto-HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS, OIS","8 MP, f/2.0, 24mm (wide), 1.12µm","Auto-HDR, panorama",1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct","5.2, A2DP, LE","GPS, GLONASS, GALILEO, QZSS",Yes,No,USB Type-C 3.1,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer","Li-Po 4410 mAh, non-removable","18W wired, PD3.0",,"Chalk, Charcoal, Sage","GX7AS, GB62Z, G1AZG",309,,Endurance rating 94h,"4,206,193 hits",4.2
OnePlus Nord CE 3 Lite,Oneplus,TRUE,TRUE,TRUE,TRUE,"2023, April 04","Available. Released 2023, April 11",165.5 x 76 x 8.3 mm (6.52 x 2.99 x 0.33 in),195 g (6.88 oz),"Glass front, plastic frame, plastic back","Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 120Hz, 550 nits (typ), 680 nits (peak)","6.72 inches, 109.6 cm2 (~87.1% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~391 ppi density)",Corning Gorilla Glass,,"Android 13, OxygenOS 13.1",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM","108 MP, f/1.8, (wide), 1/1.67"", 0.64µm, PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.4, (wide), 1.0µm","HDR, panorama",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE, aptX HD","GPS, GALILEO, GLONASS, BDS, QZSS",Yes (market/region dependent),No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable","67W wired, 80% in 30 min (advertised)",,"Pastel Lime, Chromatic Gray","CPH2467, CPH2465",249,"
AnTuTu: 412006 (v9)
GeekBench: 2052 (v5)
GFXBench: 17fps (ES 3.1 onscreen)",,"1,099,899 hits",3.9
OnePlus Ace 2V,Oneplus,TRUE,TRUE,TRUE,TRUE,"2023, March 07","Available. Released 2023, March 15",162.6 x 75.1 x 8.2 mm (6.40 x 2.96 x 0.32 in),191.5 g (6.77 oz),"Glass front (Asahi Glass), aluminum frame, glass back (Gorilla Glass 5)","Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED, 1B colors, 120Hz, HDR10+, 500 nits (typ), 1100 nits (HBM), 1450 nits (peak)","6.74 inches, 109.2 cm2 (~89.5% screen-to-body ratio)","1240 x 2772 pixels, 20:9 ratio (~451 ppi density)",Asahi Glass,,"Android 13, ColorOS 13",Mediatek MT6983 Dimensity 9000 (4 nm),Octa-core (1x3.05 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Mali-G710 MC10,No,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM","64 MP, f/1.7, 25mm (wide), PDAF
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120fps, gyro-EIS","16 MP, f/2.4, 26mm (wide), 1/3.09"", 1.0µm",HDR,1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.3, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)","Yes, eSE, HCE, NFC-SIM",No,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Li-Po 5000 mAh, non-removable","80W wired, 1-100% in 32 min (advertised)",,"Black, Blue/Green",PHP110,339.99,,,"455,611 hits",3.7
OnePlus Pad,Oneplus,TRUE,TRUE,TRUE,FALSE,"2023, February 07","Available. Released 2023, April 28",258 x 189.4 x 6.5 mm (10.16 x 7.46 x 0.26 in),552 g (1.22 lb),"Glass front, aluminum frame",No,Stylus support,"IPS LCD, 1B colors, Dolby Vision, HDR10+, 144Hz, 500 nits (typ)","11.61 inches, 411.3 cm2 (~84.2% screen-to-body ratio)",2000 x 2800 pixels (~296 ppi density),,,"Android 13, OxygenOS 13.1",Mediatek MT6983 Dimensity 9000 (4 nm),Octa-core (1x3.05 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Mali-G710 MC10,No,"128GB 8GB RAM, 256GB 12GB RAM","13 MP, f/2.2, 23mm (wide)",LED flash,"4K@30fps, 1080p@30ps, gyro-EIS","8 MP, f/2.3, (wide), 1/4"", 1.12µm",,1080p@30fps,"Yes, with stereo speakers (4 speakers)",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.3, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS (B1+B1c)",No,No,"USB Type-C 2.0, OTG, accessory connector","Accelerometer, gyro, compass","Li-Po 9510 mAh, non-removable",67W wired,,Halo Green,,544.99,"
AnTuTu: 859019 (v9)
GeekBench: 3158 (v5.1)
GFXBench: 28fps (ES 3.1 onscreen)",,"367,814 hits",4.2
OnePlus 11R,Oneplus,TRUE,TRUE,TRUE,TRUE,"2023, February 07","Available. Released 2023, February 21",163.4 x 74.3 x 8.7 mm (6.43 x 2.93 x 0.34 in),204 g (7.20 oz),"Glass front, glass back (Gorilla Glass 5), plastic frame","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED, 1B colors, 120Hz, HDR10+, 1450 nits (peak)","6.74 inches, 109.2 cm2 (~90.0% screen-to-body ratio)","1240 x 2772 pixels, 20:9 ratio (~451 ppi density)",,,"Android 13, OxygenOS 13",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,No,"128GB 8GB RAM, 256GB 16GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS
8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, gyro-EIS","16 MP, f/2.4, 24mm (wide), 1/3.09"", 1.0µm",HDR,1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.3, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)",Yes,No,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Li-Po 5000 mAh, non-removable",100W wired,,"Galactic Silver, Sonic Black",CPH2487,599,"
AnTuTu: 953897 (v9)
GeekBench: 3608 (v5)
GFXBench: 60fps (ES 3.1 onscreen)",,"1,164,148 hits",4.3
OnePlus Ace 2,Oneplus,TRUE,TRUE,TRUE,TRUE,"2023, February 07","Available. Released 2023, February 13",163.4 x 74.3 x 8.7 mm (6.43 x 2.93 x 0.34 in),204 g (7.20 oz),"Glass front (Asahi Glass), aluminum frame, glass back (Gorilla Glass 5)","Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED, 1B colors, 120Hz, HDR10+","6.74 inches, 109.2 cm2 (~90.0% screen-to-body ratio)","1240 x 2772 pixels, 20:9 ratio (~451 ppi density)",Asahi Glass,,"Android 13, ColorOS 13",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,No,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS
8 MP, f/2.2, 16mm, 120˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS","16 MP, f/2.4, 26mm (wide), 1/3.09"", 1.0µm",HDR,1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.3, A2DP, LE","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)","Yes, eSE, HCE",No,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Li-Po 5000 mAh, non-removable","100W wired, 1-100% in 25 min (advertised)",,"Black, Glacier Blue",PHK110,424.99,,,"383,634 hits",3.5
