Name,Brand,2G,3G,4G,5G,Announced,Released,Dimension,Weight,Build,Sim,Body(Other),Display Type,Display Size,Resolution,Display Protection,Display(Other),OS,Chipset,CPU,GPU,Memory(External),Memory(Internal),Main Camera,Main Camera(Features),Main Camera(Video),Front Camera,Front Camera(Features),Front Camera(Video),Speaker,Headphone Jack,WiFi,Bluetooth,GPS,NFC,Radio,USB,Sensors,Battery Type,Charging,Battery Talktime,Colors,Models,Price,Benchmark Results,Battery Test,Popularity,Rating
OnePlus 11,Oneplus,TRUE,TRUE,TRUE,TRUE,"2023, January 04","Available. Released 2023, January 09",163.1 x 74.1 x 8.5 mm (6.42 x 2.92 x 0.33 in),205 g (7.23 oz),"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass 5), aluminum frame","Single SIM (Nano-SIM) or Dual SIM (2x Nano-SIM, eSIM, dual stand-by)",IP64,"LTPO3 Fluid AMOLED, 1B colors, 120Hz, Dolby Vision, HDR10+, 500 nits (typ), 800 nits (HBM), 1300 nits (peak)","6.7 inches, 108.4 cm2 (~89.7% screen-to-body ratio)","1440 x 3216 pixels, 20:9 ratio (~525 ppi density)",Corning Gorilla Glass Victus,Always-on display,"Android 13, OxygenOS 13 (International), ColorOS 13 (China)",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"128GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS
32 MP, f/2.0, 48mm (telephoto), 1/2.74"", PDAF, 2x optical zoom
48 MP, f/2.2, 115˚, (ultrawide), 1/2.0"", AF","Hasselblad Color Calibration, Dual-LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","16 MP, f/2.5, 25mm (wide), 1.0µm","Auto-HDR, panorama","1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)","Yes, eSE, HCE",No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Li-Po 5000 mAh, non-removable","100W wired, PD, 1-50% in 10 min, 1-100% in 25 min (advertised) - International
80W wired, PD - USA",,"Titan Black, Eternal Green, Jupiter Rock","PHB110, CPH2449, CPH2447, CPH2451",625,"
AnTuTu: 1140661 (v9)
GeekBench: 4899 (v5.1)
GFXBench: 57fps (ES 3.1 onscreen)",Endurance rating 108h,"2,384,903 hits",4.4
OnePlus Nord N300,Oneplus,TRUE,TRUE,TRUE,TRUE,"2022, October 24","Available. Released 2022, November 03",163.8 x 75.1 x 8 mm (6.45 x 2.96 x 0.31 in),190 g (6.70 oz),"Glass front, plastic frame, plastic back",Nano-SIM,,"IPS LCD, 90Hz","6.56 inches, 103.4 cm2 (~84.0% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,,"Android 12, OxygenOS",Mediatek MT6833P Dimensity 810 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,64GB 4GB RAM,"48 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.0, (wide)",HDR,1080p@30fps,"Yes, with dual speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.3, A2DP, LE","GPS, GLONASS, GALILEO",Yes,Unspecified,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Po 5000 mAh, non-removable",33W wired,,Midnight Jade,CPH2389,249.99,"
AnTuTu: 335440 (v9)
GeekBench: 1780 (v5.1)
GFXBench: 23fps (ES 3.1 onscreen)",Endurance rating 114h,"352,611 hits",3
OnePlus Ace Pro,Oneplus,TRUE,TRUE,TRUE,TRUE,"2022, August 09","Available. Released 2022, August 15",163 x 75.4 x 8.8 mm (6.42 x 2.97 x 0.35 in),203.5 g (7.20 oz),"Glass front (Gorilla Glass 5), plastic frame, glass back","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED, 1B colors, 120Hz, HDR10+, 500 nits (typ), 800 nits (HBM), 950 nits (peak)","6.7 inches, 108.0 cm2 (~87.9% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",Corning Gorilla Glass 5,,"Android 12, ColorOS 12.1",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,No,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS
8 MP, f/2.2, 120˚ (ultrawide), 1/4"", 1.12µm
2 MP, f/2.4, (macro)","Dual LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, gyro-EIS","16 MP, f/2.4, 24mm (wide), 1/3"", 1.0µm",HDR,1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)",Yes,No,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Li-Po 4800 mAh, non-removable",150W wired,,"Moonstone Black, Jade Green, Genshin Impact",PGP110,544.99,,,"666,674 hits",3.6
OnePlus Nord N20 SE,Oneplus,TRUE,TRUE,TRUE,FALSE,"2022, August 05","Available. Released 2022, August 08",163.8 x 75 x 8 mm (6.45 x 2.95 x 0.31 in),187 g (6.60 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 480 nits (typ), 600 nits (HBM)","6.56 inches, 103.4 cm2 (~84.2% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,,"Android 12, OxygenOS 12.1",Mediatek MT6765G Helio G35 (12 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC,"64GB 4GB RAM, 128GB 4GB RAM","50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, 26mm (wide), 1/4"", 1.12µm",,1080p@30fps,"Yes, with dual speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD","GPS, GLONASS, BDS, GALILEO, QZSS",No,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable","33W wired, 50% in 34 min, 100% in 69 min (advertised)",,"Blue Oasis, Celestial Black",CPH2469,125,,,"640,940 hits",3.4
OnePlus 10T,Oneplus,TRUE,TRUE,TRUE,TRUE,"2022, August 03","Available. Released 2022, August 06",163 x 75.4 x 8.8 mm (6.42 x 2.97 x 0.35 in),204 g (7.20 oz),"Glass front (Gorilla Glass 5), plastic frame, glass back (Gorilla Glass 5)","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED, 1B colors, 120Hz, HDR10+","6.7 inches, 108.0 cm2 (~87.9% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",Corning Gorilla Glass 5,,"Android 12, OxygenOS 13",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,No,"128GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS
8 MP, f/2.2, 120˚ (ultrawide), 1/4"", 1.12µm
2 MP, f/2.4, (macro)","Dual LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, gyro-EIS","16 MP, f/2.4, 24mm (wide), 1/3"", 1.0µm",HDR,1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)",Yes,No,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Li-Po 4800 mAh, non-removable",150W wired (125W for 110V sockets),,"Moonstone Black, Jade Green","CPH2415, CPH2413, CPH2417",389,"
AnTuTu: 1016958 (v9)
GeekBench: 3907 (v5.1)
GFXBench: 103fps (ES 3.1 onscreen)",Endurance rating 96h,"1,563,992 hits",4.3
OnePlus Nord 2T,Oneplus,TRUE,TRUE,TRUE,TRUE,"2022, May 19","Available. Released 2022, May 21",159.1 x 73.2 x 8.2 mm (6.26 x 2.88 x 0.32 in),190 g (6.70 oz),"Glass front (Gorilla Glass 5), plastic frame","Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED, 90Hz, HDR10+","6.43 inches, 99.8 cm2 (~85.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",Corning Gorilla Glass 5,,"Android 12, upgradable to Android 13, OxygenOS 13",Mediatek MT6893Z Dimensity 1300 (6 nm),Octa-core (1x3.0 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G77 MC9,No,"128GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS
8 MP, f/2.2, 120˚ (ultrawide)
2 MP, f/2.2, (depth)","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120/480fps, gyro-EIS","32 MP, f/2.4, (wide), 1/2.8"", 0.8µm",Auto HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS, NavIC",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable","80W wired, PD",,"Gray Shadow, Jade Fog","CPH2399, CPH2401",343,"
AnTuTu: 490545 (v8) | 604467 (v9)
GeekBench: 2790 (v5.1)
GFXBench: 40fps (ES 3.1 onscreen)",Endurance rating 100h,"2,215,070 hits",4.1
OnePlus Ace Racing,Oneplus,TRUE,TRUE,TRUE,TRUE,"2022, May 17","Available. Released 2022, May 31",164.3 x 75.8 x 8.7 mm (6.47 x 2.98 x 0.34 in),205 g (7.23 oz),,"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 120Hz, 480 nits (typ), 600 (HBM)","6.59 inches, 104.5 cm2 (~83.9% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~401 ppi density)",,,"Android 12, ColorOS 12.1",Mediatek Dimensity 8100-Max (5 nm),Octa-core (4x2.85 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","64 MP, f/1.7, 25mm (wide), PDAF
8 MP, f/2.2, 15mm, 119˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS","16 MP, f/2.1, 26mm (wide), 1/3.09"", 1.0µm",HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,No,USB Type-C 2.0,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable","67W wired, 80% in 29 min (advertised)",,"Black, Blue",PGZ110,329.99,,,"385,659 hits",
OnePlus Nord N20 5G,Oneplus,TRUE,TRUE,TRUE,TRUE,"2022, April 28","Available. Released 2022, April 28",159.9 x 73.2 x 7.5 mm (6.30 x 2.88 x 0.30 in),173 g (6.10 oz),"Glass front (Schott Xensation Up), plastic frame, plastic back",Nano-SIM,,AMOLED,"6.43 inches, 99.8 cm2 (~85.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",Schott Xensation Up,Always-on display,"Android 11, OxygenOS 11",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,microSDXC (dedicated slot),128GB 6GB RAM,"64 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.4, (wide)",HDR,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE","GPS (L1+L5), GLONASS, GALILEO, BDS",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer","Li-Po 4500 mAh, non-removable",33W wired,,Blue,"GN2200, CPH2459",249.99,"
AnTuTu: 316974 (v8), 380672 (v9)
GeekBench: 1945 (v5.1)
GFXBench: 16fps (ES 3.1 onscreen)",Endurance rating 129h,"1,164,939 hits",3.4
OnePlus 10R 150W,Oneplus,TRUE,TRUE,TRUE,TRUE,"2022, April 28","Available. Released 2022, May 04",163.3 x 75.5 x 8.2 mm (6.43 x 2.97 x 0.32 in),186 g (6.56 oz),"Glass front (Gorilla Glass 5), plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED, 1B colors, 120Hz, HDR10+","6.7 inches, 108.0 cm2 (~87.6% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",Corning Gorilla Glass 5,,"Android 12, upgradable to Android 13, OxygenOS 13",Mediatek Dimensity 8100-Max (5 nm),Octa-core (4x2.85 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6,No,256GB 12GB RAM,"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS
8 MP, f/2.2, 15mm, 120˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS","16 MP, f/2.4, 26mm (wide), 1/3.09"", 1.0µm",HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Li-Po 4500 mAh, non-removable","150W wired, 1-30% in 3 min, 1-100% in 17 min (advertised)",,"Sierra Black, Forest Green",,359.99,"
AnTuTu: 801224 (v9)
GeekBench: 3822 (v5)
GFXBench: 49fps (ES 3.1 onscreen)",,"257,692 hits",3.1
OnePlus 10R,Oneplus,TRUE,TRUE,TRUE,TRUE,"2022, April 28","Available. Released 2022, May 04",163.3 x 75.5 x 8.2 mm (6.43 x 2.97 x 0.32 in),186 g (6.56 oz),"Glass front (Gorilla Glass 5), plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED, 1B colors, 120Hz, HDR10+","6.7 inches, 108.0 cm2 (~87.6% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",Corning Gorilla Glass 5,,"Android 12, upgradable to Android 13, OxygenOS 13",Mediatek Dimensity 8100-Max (5 nm),Octa-core (4x2.85 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS
8 MP, f/2.2, 15mm, 120˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS","16 MP, f/2.4, 26mm (wide), 1/3.09"", 1.0µm",HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Li-Po 5000 mAh, non-removable","80W wired, 1-100% in 32 min (advertised)",,"Sierra Black, Forest Green, Prime Blue",CPH2411,419.99,,,"1,432,258 hits",4.1
OnePlus Nord CE 2 Lite 5G,Oneplus,TRUE,TRUE,TRUE,TRUE,"2022, April 28","Available. Released 2022, April 30",164.3 x 75.6 x 8.5 mm (6.47 x 2.98 x 0.33 in),195 g (6.88 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 120Hz","6.59 inches, 104.5 cm2 (~84.1% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~401 ppi density)",,,"Android 12, upgradable to Android 13, OxygenOS 13",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM","64 MP, f/1.7, 26mm (wide), 0.7µm, PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.0, (wide), 1/3.0"", 1.0µm",HDR,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS, QZSS",Yes (market/region dependent),Unspecified,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable",33W wired,,"Black Dusk, Blue Tide","CPH2381, CPH2409",205,"
AnTuTu: 399306 (v9)
GeekBench: 1956 (v5)
GFXBench: 17fps (ES 3.1 onscreen)",,"1,677,851 hits",4.3
OnePlus Ace,Oneplus,TRUE,TRUE,TRUE,TRUE,"2022, April 21","Available. Released 2022, April 26",163.3 x 75.5 x 8.2 mm (6.43 x 2.97 x 0.32 in),186 g (6.56 oz),"Glass front (Gorilla Glass 5), plastic frame","Dual SIM (Nano-SIM, dual stand-by)",,"OLED, 1B colors, 120Hz, HDR10+, 500 nits (typ), 800 nits (HBM), 950 nits (peak)","6.7 inches, 108.0 cm2 (~87.6% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",Corning Gorilla Glass 5,,"Android 12, ColorOS 12.1",Mediatek Dimensity 8100-Max (5 nm),Octa-core (4x2.85 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS
8 MP, f/2.2, 15mm, 120˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, gyro-EIS","16 MP, f/2.4, 26mm (wide), 1/3.09"", 1.0µm",HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE","GPS, GLONASS, GALILEO, BDS",Yes,No,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Li-Po 4500 mAh, non-removable","150W wired, 50% in 5 min (advertised)",,"Black, Blue",PGKM10,399.99,,,"610,168 hits",3.5
OnePlus 10 Pro,Oneplus,TRUE,TRUE,TRUE,TRUE,"2022, January 11","Available. Released 2022, January 13",163 x 73.9 x 8.6 mm (6.42 x 2.91 x 0.34 in),201 g (7.09 oz),"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass 5), aluminum frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IP68 dust/water resistant - T-Mobile only (not for use underwater, liquid damage is not covered under warranty)","LTPO2 Fluid AMOLED, 1B colors, 120Hz, HDR10+, 500 nits (typ), 800 nits (HBM), 1300 nits (peak)","6.7 inches, 108.4 cm2 (~90.0% screen-to-body ratio)","1440 x 3216 pixels, 20:9 ratio (~525 ppi density)",Corning Gorilla Glass Victus,Always-on display,"Android 12, upgradable to Android 13, OxygenOS 13 (International), ColorOS (China)",Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),Octa-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","48 MP, f/1.8, 23mm (wide), 1/1.43"", 1.12µm, multi-directional PDAF, Laser AF, OIS
8 MP, f/2.4, 77mm (telephoto), 1.0µm, PDAF, OIS, 3.3x optical zoom
50 MP, f/2.2, 14mm, 150˚ (ultrawide), 1/2.76"", 0.64µm","Hasselblad Color Calibration, Dual-LED dual-tone flash, HDR, panorama","8K@24fps, 4K@30/60/120fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","32 MP, f/2.2, (wide), 1/2.74"", 0.8µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum, barometer","Li-Po 5000 mAh, non-removable","80W wired, PD, 1-100% in 32 min (International)
65W wired, PD, 1-58% in 15 min (North America)
50W wireless
Reverse wireless",,"Volcanic Black, Emerald Forest, Panda White (Extreme Edition)","NE2210, NE2211, NE2213, NE2215, NE2217",469,"
AnTuTu: 886248 (v9)
GeekBench: 3447 (v5.1)
GFXBench: 48fps (ES 3.1 onscreen)",Endurance rating 107h,"4,596,966 hits",4.3
OnePlus Nord CE 2 5G,Oneplus,TRUE,TRUE,TRUE,TRUE,"2022, February 17","Available. Released 2022, February 22",160.6 x 73.2 x 7.8 mm (6.32 x 2.88 x 0.31 in),173 g (6.10 oz),,"Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED, 90Hz, HDR10+","6.43 inches, 99.8 cm2 (~84.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",Corning Gorilla Glass 5,,"Android 11, upgradable to Android 13, OxygenOS 13",Mediatek MT6877 Dimensity 900 (6 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,microSDXC (dedicated slot),"128GB 6GB RAM, 128GB 8GB RAM","64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7µm, PDAF
8 MP, f/2.2, 119˚ (ultrawide)
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS","16 MP, f/2.4, 27mm (wide), 1.0µm",HDR,"1080p@30/60fps, gyro-EIS",Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,Unspecified,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable",65W wired,,"Gray Mirror, Bahama Blue",IV2201,229.99,"
AnTuTu: 436640 (v9)
GeekBench: 2157 (v5)
GFXBench: 19fps (ES 3.1 onscreen)",,"2,395,784 hits",3.4
